arm,pair,b_id,slug,file_hit,sym_hit,file_frac,sym_frac,jaccard,n_gold_files,n_gold_syms
oracle,pair_8459_9673,sphinx-doc__sphinx-9673,sphinx,False,False,0.0,0.0,0.0,1,1
blind,pair_8593_8595,sphinx-doc__sphinx-8595,sphinx,True,False,1.0,0.0,0.0079155672823219,1,1
oracle,pair_8593_8595,sphinx-doc__sphinx-8595,sphinx,False,False,0.0,0.0,0.0,1,1
blind,pair_9230_9591,sphinx-doc__sphinx-9591,sphinx,True,False,1.0,0.0,0.013054830287206266,1,1
oracle,pair_9230_9591,sphinx-doc__sphinx-9591,sphinx,False,False,0.0,0.0,0.0,1,1
blind,pair_9591_9602,sphinx-doc__sphinx-9602,sphinx,True,False,1.0,0.0,0.017766497461928935,1,1
oracle,pair_9591_9602,sphinx-doc__sphinx-9602,sphinx,False,False,0.0,0.0,0.036585365853658534,1,1
blind,pair_9673_10449,sphinx-doc__sphinx-10449,sphinx,True,True,1.0,0.3333333333333333,0.020512820512820513,1,3
oracle,pair_9673_10449,sphinx-doc__sphinx-10449,sphinx,False,False,0.0,0.0,0.022222222222222223,1,3
null,-,django__django-10097,django,False,False,0.0,0.0,0.004338394793926247,1,1
null,-,django__django-10554,django,False,False,0.0,0.0,0.012295081967213115,2,4
null,-,django__django-10880,django,False,False,0.0,0.0,0.0021551724137931034,1,1
null,-,django__django-10914,django,False,False,0.0,0.0,0.0021645021645021645,1,1
null,-,django__django-10973,django,False,False,0.0,0.0,0.03762376237623762,1,3
null,-,django__django-10999,django,False,False,0.0,,0.0,1,0
null,-,django__django-11087,django,False,False,0.0,0.0,0.04518664047151277,1,4
null,-,django__django-11095,django,False,False,0.0,0.0,0.008547008547008548,1,3
null,-,django__django-11099,django,False,False,0.0,0.0,0.0,1,1
null,-,django__django-11119,django,False,False,0.0,0.0,0.0064794816414686825,1,1
null,-,django__django-11133,django,False,False,0.0,0.0,0.004329004329004329,1,1
null,-,django__django-11138,django,True,False,0.25,0.0,0.021956087824351298,4,12
null,-,django__django-11149,django,False,False,0.0,0.0,0.06692913385826772,1,3
null,-,django__django-11163,django,True,False,1.0,0.0,0.010869565217391304,1,1
null,-,django__django-11179,django,False,False,0.0,0.0,0.0064794816414686825,1,1
null,-,django__django-11206,django,False,False,0.0,0.0,0.010548523206751054,1,1
null,-,django__django-11211,django,True,True,1.0,0.3333333333333333,0.00646551724137931,1,3
null,-,django__django-11239,django,False,False,0.0,0.0,0.0021231422505307855,1,1
null,-,django__django-11265,django,False,False,0.0,0.0,0.029166666666666667,1,2
null,-,django__django-11276,django,False,False,0.0,0.0,0.0102880658436214,1,5
null,-,django__django-11292,django,True,False,1.0,0.0,0.01263157894736842,1,4
null,-,django__django-11333,django,True,False,0.5,0.0,0.00851063829787234,2,2
null,-,django__django-11400,django,True,False,0.3333333333333333,0.0,0.018633540372670808,3,5
null,-,django__django-11433,django,True,False,1.0,0.0,0.010683760683760684,1,1
null,-,django__django-11451,django,False,False,0.0,0.0,0.004329004329004329,1,1
null,-,django__django-11477,django,False,False,0.0,0.0,0.008639308855291577,1,1
null,-,django__django-11490,django,False,False,0.0,0.0,0.0,1,1
null,-,django__django-11532,django,True,False,0.2,0.0,0.016563146997929608,5,6
null,-,django__django-11551,django,False,False,0.0,0.0,0.026859504132231406,1,1
null,-,django__django-11555,django,False,False,0.0,0.0,0.002145922746781116,1,1
null,-,django__django-11603,django,False,False,0.0,0.0,0.0021691973969631237,1,1
null,-,django__django-11728,django,True,False,1.0,0.0,0.010438413361169102,1,2
null,-,django__django-11734,django,True,False,0.3333333333333333,0.0,0.018867924528301886,3,5
null,-,django__django-11740,django,False,False,0.0,0.0,0.0021551724137931034,1,1
null,-,django__django-11749,django,True,False,1.0,0.0,0.00425531914893617,1,1
null,-,django__django-11790,django,False,False,0.0,,0.004282655246252677,1,0
null,-,django__django-11820,django,True,False,1.0,0.0,0.008547008547008548,1,1
null,-,django__django-11848,django,False,False,0.0,0.0,0.010615711252653927,1,1
null,-,django__django-11880,django,True,False,1.0,,0.004329004329004329,1,0
null,-,django__django-11885,django,True,False,0.5,0.0,0.06583629893238434,2,7
null,-,django__django-11951,django,False,False,0.0,0.0,0.002136752136752137,1,1
null,-,django__django-11964,django,False,False,0.0,0.0,0.023305084745762712,1,1
null,-,django__django-11999,django,True,False,1.0,0.0,0.008565310492505354,1,1
null,-,django__django-12039,django,False,False,0.0,0.0,0.006423982869379015,1,1
null,-,django__django-12050,django,False,False,0.0,0.0,0.010570824524312896,1,1
null,-,django__django-12143,django,False,False,0.0,0.0,0.008602150537634409,1,1
null,-,django__django-12155,django,True,False,0.5,0.0,0.026156941649899398,2,4
null,-,django__django-12193,django,False,False,0.0,0.0,0.004329004329004329,1,1
null,-,django__django-12209,django,True,False,1.0,0.0,0.004338394793926247,1,1
null,-,django__django-12262,django,False,False,0.0,0.0,0.0064516129032258064,1,1
null,-,django__django-12273,django,True,False,1.0,0.0,0.01072961373390558,1,1
null,-,django__django-12276,django,False,False,0.0,0.0,0.008620689655172414,1,3
null,-,django__django-12304,django,False,False,0.0,,0.0021645021645021645,1,0
