arm,n,resolve_pct,consult,gold_pct,prompt_k,tok_per_resolved_k
B,88,90.9091,0.0,96.5909,25.7532,28.7835
E,88,81.8182,0.0,95.4545,23.4674,29.2146
FILE,88,85.2273,1.0,96.5909,24.0108,28.6794
SHARD,88,88.6364,1.0,97.7273,38.3842,43.8324
